id,label
1009,0
1034,2
1066,1
1069,2
1113,1
1114,0
1121,0
1124,1
1128,1
1133,2
1155,1
1182,0
1203,1
1219,0
1222,2
1299,0
1314,2
1339,0
1341,0
1362,2
1363,1
1417,0
1491,0
1505,2
1508,0
1553,0
1561,2
1564,0
1565,0
1583,0
1584,0
1585,2
1598,2
1604,2
1619,1
1686,2
1705,1
1734,0
1736,2
1772,1
1775,2
1807,2
1815,1
1829,0
1841,1
1851,1
1852,0
1855,1
1873,2
1900,1
1921,1
1957,2
2050,2
2055,2
2063,2
2067,1
2079,2
2093,1
2117,2
2118,1
2123,1
2132,2
2142,2
2246,1
2335,0
2370,1
2395,0
2401,1
2495,1
2526,1
2536,0
2605,1
2628,1
2657,0
2663,1
2666,1
2674,0
2690,1
2692,0
2693,2
2781,2
2787,2
2804,1
2850,1
2898,0
2913,2
2929,1
2936,1
2942,2
2950,1
2960,2
2965,0
2980,0
2981,0
2987,1
3002,0
3010,2
3016,2
3024,1
3041,0
3082,0
3097,1
3125,0
3151,2
3176,2
3258,1
3284,2
3304,2
3307,0
3308,0
3320,2
3357,1
3378,0
3407,0
3419,0
3421,2
3423,0
3458,0
3464,2
3499,0
3534,2
3553,2
3591,2
3621,2
3634,1
3641,0
3688,0
3692,0
3710,0
3712,0
3716,2
3721,0
3733,2
3797,1
3800,2
3827,0
3843,0
3870,1
3872,0
3900,0
3913,1
3919,1
3922,0
3928,0
3929,0
3931,2
3961,0
3981,1
3996,1
3999,1
4003,0
4026,1
4044,2
4086,2
4161,2
4163,1
4176,1
4185,1
4220,2
4222,2
4237,1
4291,2
4296,1
4314,1
4321,2
4344,0
4355,1
4388,1
4396,0
4423,0
4477,2
4485,2
4514,0
4545,1
4554,2
4580,0
4598,1
4615,1
4674,0
4693,2
4713,1
4714,0
4721,2
4744,1
4780,1
4784,2
4787,0
4803,2
4814,1
4839,0
4846,1
4888,2
4918,0
4954,2
4963,1
4969,0
4973,1
4993,2
5025,2
5030,2
5072,0
5074,0
5087,2
5145,1
5160,1
5174,2
5188,0
5191,0
5201,0
5213,2
5274,0
5290,0
5327,0
5371,2
5386,1
5406,2
5453,0
5463,2
5472,0
5479,1
5480,2
5502,2
5524,1
5548,0
5558,1
5564,2
5603,0
5621,2
5622,0
5661,1
5702,0
5715,0
5721,2
5724,0
5730,0
5737,0
5803,0
5806,1
5822,2
5828,1
5833,1
5852,2
5855,1
5899,2
5930,2
5956,0
6000,2
6038,1
6050,2
6058,2
6064,1
6066,1
6077,2
6086,2
6101,0
6109,2
6124,2
6194,2
6217,0
6248,0
6254,2
6278,2
6285,1
6287,1
6310,0
6361,0
6368,0
6390,2
6404,2
6412,2
6422,0
6423,0
6450,2
6462,1
6472,2
6487,1
6508,0
6522,1
6578,2
6667,1
6671,0
6751,2
6803,0
6819,2
6823,2
6847,1
6865,0
6878,0
6893,1
6934,0
6995,2
7033,1
7048,0
7065,2
7066,1
7084,1
7089,2
7102,2
7139,1
7146,0
7156,1
7246,1
7251,2
7280,2
7282,1
7283,0
7302,2
7307,0
7357,1
7398,1
7422,0
7437,2
7450,1
7469,0
7487,1
7518,0
7557,0
7576,1
7579,0
7586,1
7592,0
7614,0
7616,1
7626,2
7628,2
7635,0
7649,0
7671,2
7688,1
7738,1
7768,0
7843,1
7850,2
7903,1
7906,1
7948,0
7960,1
7961,2
7965,0
8022,1
8053,1
8072,1
8096,1
8104,2
8117,0
8132,1
8137,2
8151,0
8214,2
8270,2
8273,0
8302,1
8310,1
8313,1
8316,2
8403,1
8411,2
8432,0
8483,1
8519,2
8531,2
8554,2
8587,0
8596,0
8600,1
8601,1
8621,2
8626,0
8631,0
8636,1
8637,0
8638,2
8664,1
8669,1
8746,0
8755,1
8766,2
8767,0
8777,2
8815,0
8835,1
8838,2
8890,0
8900,0
8913,2
8915,0
8930,0
8944,1
8965,1
8966,0
8997,0
9022,0
9034,1
9073,2
9085,2
9087,2
9115,1
9137,1
9182,2
9189,0
9196,0
9197,1
9199,1
9212,2
9226,1
9237,0
9273,2
9294,2
9306,0
9327,2
9346,1
9396,0
9402,2
9409,1
9426,1
9448,2
9461,0
9497,1
9551,0
9574,1
9592,0
9597,1
9616,0
9670,1
9707,1
9727,1
9737,0
9754,2
9760,2
9770,1
9792,1
9839,2
9854,2
9855,2
9857,2
9864,1
9865,2
9885,1
9887,2
9898,0
9906,0
9916,0
9923,2
9944,1
9948,2
9953,1
9955,2
9963,2
9973,0
9983,1
